Subway,,,,,,,
製表日期：,2025/12/13,,,,,,[VENUSTW_G18]
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
4,A0192,套餐火腿起司蛋,1,0,88,AP 單品入帳,08:37:58
7,A0191,套餐起司蛋,1,0,78,AP 單品入帳,08:37:58
,合計,,2,0,166,,
,,,,,,,
,TOTAL,,,,166,現金付款,
,發票編號：,VM14253763 ～ VM14253763,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0005,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050601,蛋沙拉堡6吋,1,0,120,AP 單品入帳,08:54:31
2,A030201,燒烤牛肉堡6吋,1,0,139,AP 單品入帳,08:54:31
,合計,,2,0,259,,
,,,,,,,
,TOTAL,,,,259,信用卡付款,
,發票編號：,VM14253764 ～ VM14253764,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0006,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A010101,厚切牛起司蛋堡,1,0,82,AP 單品入帳,08:57:58
,合計,,1,0,82,,
,,,,,,,
,TOTAL,,,,82,Line Pay付款,
,發票編號：,VM14253765 ～ VM14253765,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0007,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050801,素食蔬菜堡6吋,1,0,89,AP 單品入帳,09:25:01
,合計,,1,0,89,,
,,,,,,,
,TOTAL,,,,89,現金付款,
,發票編號：,VM14253766 ～ VM14253766,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0008,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050701,鷹嘴豆泥餅堡6吋,1,0,125,AP 單品入帳,09:42:46
2,A050302,百味俱樂部堡12吋,1,0,230,AP 單品入帳,09:42:46
,合計,,2,0,355,,
,,,,,,,
,TOTAL,,,,355,現金付款,
,發票編號：,VM14253767 ～ VM14253767,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0009,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020301,香烤雞肉堡6吋,1,0,125,AP 單品入帳,09:45:51
2,A0814,餅乾1片,1,0,25,AP 單品入帳,09:45:51
,合計,,2,0,150,,
,,,,,,,
,TOTAL,,,,150,信用卡付款,
,發票編號：,VM14253768 ～ VM14253768,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0010,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A080201,嫩雞沙拉捲餅,1,0,102,AP 單品入帳,09:46:47
2,A080301,辣牛沙拉捲餅,1,0,102,AP 單品入帳,09:46:47
3,A030302,義大利牛肉丸堡12吋,1,0,232,AP 單品入帳,09:46:47
,合計,,3,0,436,,
,,,,,,,
,TOTAL,,,,436,Line Pay付款,
,發票編號：,VM14253769 ～ VM14253769,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0011,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030303,義大利牛肉丸烤餅6吋,1,0,139,AP 單品入帳,09:48:31
2,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,09:48:31
,合計,,2,0,174,,
,,,,,,,
,TOTAL,,,,174,現金付款,
,發票編號：,VM14253770 ～ VM14253770,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0012,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0815,餅乾3片,1,0,60,AP 單品入帳,09:54:08
,合計,,1,0,60,,
,,,,,,,
,TOTAL,,,,60,現金付款,
,發票編號：,VM14253771 ～ VM14253771,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0013,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,09:56:42
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,09:56:42
3,A060401,酪梨泥一球,1,0,45,AP 單品入帳,09:56:42
4,A090802,美式咖啡熱,1,0,38,AP 單品入帳,09:56:42
,合計,,4,0,243,,
,,,,,,,
,TOTAL,,,,243,現金付款,
,發票編號：,VM14253772 ～ VM14253772,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0014,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,09:59:21
2,A0701,A套餐,1,0,48,AP 單品入帳,09:59:21
,合計,,2,0,197,,
,,,,,,,
,TOTAL,,,,197,現金付款,
,發票編號：,VM14253773 ～ VM14253773,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0015,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050601,蛋沙拉堡6吋,1,0,120,AP 單品入帳,10:19:13
,合計,,1,0,120,,
,,,,,,,
,TOTAL,,,,120,現金付款,
,發票編號：,VM14253774 ～ VM14253774,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0017,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A010101,厚切牛起司蛋堡,2,0,164,AP 單品入帳,10:25:28
,合計,,2,0,164,,
,,,,,,,
,TOTAL,,,,164,現金付款,
,發票編號：,VM14253776 ～ VM14253776,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0018,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0194,套餐厚牛起司蛋,1,0,120,AP 單品入帳,10:23:15
4,A0192,套餐火腿起司蛋,1,0,100,AP 單品入帳,10:23:15
,合計,,2,0,220,,
,,,,,,,
,TOTAL,,,,220,信用卡付款,
,發票編號：,VM14253775 ～ VM14253775,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0019,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0192,套餐火腿起司蛋,1,0,88,AP 單品入帳,10:27:30
,合計,,1,0,88,,
,,,,,,,
,TOTAL,,,,88,現金付款,
,發票編號：,VM14253777 ～ VM14253777,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0020,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
2,A0194,套餐厚牛起司蛋,3,0,324,AP 單品入帳,10:31:30
5,A0191,套餐起司蛋,1,0,78,AP 單品入帳,10:31:30
8,A060401,酪梨泥一球,4,0,180,AP 單品入帳,10:31:30
,合計,,8,0,582,,
,,,,,,,
,TOTAL,,,,582,現金付款,
,發票編號：,VM14253778 ～ VM14253778,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0021,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A040202,鮪魚堡12吋,1,0,225,AP 單品入帳,10:37:56
,合計,,1,0,225,,
,,,,,,,
,TOTAL,,,,225,信用卡付款,
,發票編號：,VM14253779 ～ VM14253779,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0022,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,B211,百味俱樂部,1,0,209,AP 單品入帳,10:40:01
5,B225,加料,1,0,70,AP 單品入帳,10:40:01
,合計,,2,0,279,,
,,,,,,,
,TOTAL,,,,279,FoodPanda付款,
,發票編號：,VM14253780 ～ VM14253780,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0023,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030402,墨西哥辣牛堡12吋,1,0,207,AP 單品入帳,10:47:21
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,10:47:21
3,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,10:47:21
,合計,,3,0,277,,
,,,,,,,
,TOTAL,,,,277,現金付款,
,發票編號：,VM14253781 ～ VM14253781,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0024,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0815,餅乾3片,1,60,0,AP 單品入帳,10:53:19
4,A0815,餅乾3片,1,60,0,AP 單品入帳,10:53:19
,合計,,2,120,0,,
,,,,,,,
,TOTAL,,,,0,,
,發票編號：,00000000 ～ 00000000,交易種類 ：,◎一般入帳◎,,客戶編號：,2101130002員工餐0元
,交易日期：,2025/11/30,序 號：,0025,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,10:57:27
2,A050301,百味俱樂部堡6吋,1,0,128,AP 單品入帳,10:57:27
,合計,,2,0,277,,
,,,,,,,
,TOTAL,,,,277,現金付款,
,發票編號：,VM14253782 ～ VM14253782,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0026,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,10:58:58
2,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,10:58:58
,合計,,2,0,274,,
,,,,,,,
,TOTAL,,,,274,現金付款,
,發票編號：,VM14253783 ～ VM14253783,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0027,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020502,鮮嫩雞柳堡12吋,1,0,225,AP 單品入帳,11:51:33
,合計,,1,0,225,,
,,,,,,,
,TOTAL,,,,225,Line Pay付款,
,發票編號：,VM14253795 ～ VM14253795,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0028,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020601,嫩切雞肉堡6吋,1,0,110,AP 單品入帳,11:17:22
2,A0703,C套餐,1,0,60,AP 單品入帳,11:17:22
5,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,11:17:22
,合計,,3,0,295,,
,,,,,,,
,TOTAL,,,,295,現金付款,
,發票編號：,VM14253784 ～ VM14253784,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0030,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030501,火腿堡6吋,1,0,105,AP 單品入帳,11:23:37
,合計,,1,0,105,,
,,,,,,,
,TOTAL,,,,105,現金付款,
,發票編號：,VM14253785 ～ VM14253785,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0031,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A080201,嫩雞沙拉捲餅,1,0,102,AP 單品入帳,11:26:40
2,A060301,培根1條,1,0,23,AP 單品入帳,11:26:40
3,A020301,香烤雞肉堡6吋,1,0,125,AP 單品入帳,11:26:40
4,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,11:26:40
,合計,,4,0,285,,
,,,,,,,
,TOTAL,,,,285,信用卡付款,
,發票編號：,VM14253786 ～ VM14253786,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0032,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020602,嫩切雞肉堡12吋,1,0,198,AP 單品入帳,11:29:03
2,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,11:29:03
3,A020601,嫩切雞肉堡6吋,1,0,110,AP 單品入帳,11:29:03
,合計,,3,0,343,,
,,,,,,,
,TOTAL,,,,343,信用卡付款,
,發票編號：,VM14253787 ～ VM14253787,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0033,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050102,義大利經典堡12吋,1,0,243,AP 單品入帳,11:32:46
,合計,,1,0,243,,
,,,,,,,
,TOTAL,,,,243,現金付款,
,發票編號：,VM14253788 ～ VM14253788,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0034,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020301,香烤雞肉堡6吋,1,0,125,AP 單品入帳,11:35:17
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,11:35:17
3,A060401,酪梨泥一球,1,0,45,AP 單品入帳,11:35:17
,合計,,3,0,205,,
,,,,,,,
,TOTAL,,,,205,現金付款,
,發票編號：,VM14253789 ～ VM14253789,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0035,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050602,蛋沙拉堡12吋,1,0,216,AP 單品入帳,11:36:30
,合計,,1,0,216,,
,,,,,,,
,TOTAL,,,,216,現金付款,
,發票編號：,VM14253790 ～ VM14253790,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0036,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0210,6吋鮮嫩雞柳潛艇堡 6-Inch Chicken Strips Sub,1,0,238,AP 單品入帳,11:37:32
,合計,,1,0,238,,
,,,,,,,
,TOTAL,,,,238,UberEats付款,
,發票編號：,VM14253791 ～ VM14253791,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0037,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030201,燒烤牛肉堡6吋,1,0,139,AP 單品入帳,11:42:37
2,A0703,C套餐,1,0,55,AP 單品入帳,11:42:37
,合計,,2,0,194,,
,,,,,,,
,TOTAL,,,,194,現金付款,
,發票編號：,VM14253792 ～ VM14253792,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0038,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050301,百味俱樂部堡6吋,1,0,128,AP 單品入帳,11:45:54
2,A0701,A套餐,1,0,48,AP 單品入帳,11:45:54
,合計,,2,0,176,,
,,,,,,,
,TOTAL,,,,176,現金付款,
,發票編號：,VM14253793 ～ VM14253793,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0039,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030402,墨西哥辣牛堡12吋,1,0,207,AP 單品入帳,11:47:51
2,A060401,酪梨泥一球,1,0,45,AP 單品入帳,11:47:51
3,A060401,酪梨泥一球,1,0,45,AP 單品入帳,11:47:51
4,A0703,C套餐,1,0,55,AP 單品入帳,11:47:51
,合計,,4,0,352,,
,,,,,,,
,TOTAL,,,,352,現金付款,
,發票編號：,VM14253794 ～ VM14253794,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0040,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020301,香烤雞肉堡6吋,1,125,0,AP 單品入帳,11:50:25
2,A060701,三角切片起司一份,1,23,0,AP 單品入帳,11:50:25
3,A060601,嫩煎蛋一片,1,35,0,AP 單品入帳,11:50:25
,合計,,3,183,0,,
,,,,,,,
,TOTAL,,,,0,,
,發票編號：,00000000 ～ 00000000,交易種類 ：,◎一般入帳◎,,客戶編號：,2101130002員工餐0元
,交易日期：,2025/11/30,序 號：,0041,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030402,墨西哥辣牛堡12吋,1,0,207,AP 單品入帳,11:52:57
2,A060401,酪梨泥一球,1,0,45,AP 單品入帳,11:52:57
3,A060401,酪梨泥一球,1,0,45,AP 單品入帳,11:52:57
,合計,,3,0,297,,
,,,,,,,
,TOTAL,,,,297,信用卡付款,
,發票編號：,VM14253796 ～ VM14253796,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0042,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030501,火腿堡6吋,1,0,105,AP 單品入帳,11:56:34
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,11:56:34
,合計,,2,0,140,,
,,,,,,,
,TOTAL,,,,140,現金付款,
,發票編號：,VM14253797 ～ VM14253797,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0043,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,11:58:04
2,A0703,C套餐,1,0,55,AP 單品入帳,11:58:04
5,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,11:58:04
6,A0703,C套餐,1,0,55,AP 單品入帳,11:58:04
,合計,,4,0,384,,
,,,,,,,
,TOTAL,,,,384,信用卡付款,
,發票編號：,VM14253798 ～ VM14253798,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0044,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0815,餅乾3片,1,60,0,AP 單品入帳,12:01:53
4,A0815,餅乾3片,1,60,0,AP 單品入帳,12:01:53
,合計,,2,120,0,,
,,,,,,,
,TOTAL,,,,0,,
,發票編號：,00000000 ～ 00000000,交易種類 ：,◎一般入帳◎,,客戶編號：,2101130002員工餐0元
,交易日期：,2025/11/30,序 號：,0045,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,12:02:28
2,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,12:02:28
3,A020502,鮮嫩雞柳堡12吋,1,0,225,AP 單品入帳,12:02:28
4,A091201,無糖紅茶冰,1,0,38,AP 單品入帳,12:02:28
,合計,,4,0,333,,
,,,,,,,
,TOTAL,,,,333,Line Pay付款,
,發票編號：,VM14253799 ～ VM14253799,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0046,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020506,鮮嫩雞柳雙份肉料,1,55,0,AP 單品入帳,12:05:17
,合計,,1,55,0,,
,,,,,,,
,TOTAL,,,,0,,
,發票編號：,00000000 ～ 00000000,交易種類 ：,◎一般入帳◎,,客戶編號：,2101130002員工餐0元
,交易日期：,2025/11/30,序 號：,0047,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030501,火腿堡6吋,1,105,0,AP 單品入帳,12:07:44
2,A060301,培根1條,1,23,0,AP 單品入帳,12:07:44
3,A060301,培根1條,1,23,0,AP 單品入帳,12:07:44
,合計,,3,151,0,,
,,,,,,,
,TOTAL,,,,0,,
,發票編號：,00000000 ～ 00000000,交易種類 ：,◎一般入帳◎,,客戶編號：,2101130002員工餐0元
,交易日期：,2025/11/30,序 號：,0048,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020301,香烤雞肉堡6吋,1,0,125,AP 單品入帳,12:09:28
2,A060401,酪梨泥一球,1,0,45,AP 單品入帳,12:09:28
,合計,,2,0,170,,
,,,,,,,
,TOTAL,,,,170,信用卡付款,
,發票編號：,VM14253800 ～ VM14253800,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0049,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,12:11:13
,合計,,1,0,125,,
,,,,,,,
,TOTAL,,,,125,Line Pay付款,
,發票編號：,VM14253801 ～ VM14253801,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0050,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,12:12:20
,合計,,1,0,125,,
,,,,,,,
,TOTAL,,,,125,現金付款,
,發票編號：,VM14253802 ～ VM14253802,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0051,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
